split,controller_group,n,episode_reward_mean,episode_reward_std,SOC_tail_risk_mean,SOC_tail_risk_std,SOC_tail_violation_steps_mean,SOC_tail_violation_steps_std,SOC_RMSE_mean,SOC_RMSE_std,SOC_MAE_to_ref_mean,SOC_MAE_to_ref_std,mean_signed_SOC_error_mean,mean_signed_SOC_error_std,time_in_SOC_band_0p03_pct_mean,time_in_SOC_band_0p03_pct_std,time_in_SOC_band_0p06_pct_mean,time_in_SOC_band_0p06_pct_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,constraint_violation_steps_mean,constraint_violation_steps_std,battery_limit_proximity_risk_mean,battery_limit_proximity_risk_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,engine_switch_count_mean,engine_switch_count_std,confidence_mean_mean,confidence_mean_std,confidence_min_mean,confidence_min_std,confidence_p5_mean,confidence_p5_std,action_attenuation_ratio_mean_mean,action_attenuation_ratio_mean_std,fallback_activation_ratio_mean,fallback_activation_ratio_std,direction_suppression_ratio_mean,direction_suppression_ratio_std,safety_filter_checked_ratio_mean,safety_filter_checked_ratio_std,safety_filter_rejection_ratio_mean,safety_filter_rejection_ratio_std,residual_magnitude_mean_mean,residual_magnitude_mean_std,mean_abs_delta_P_eng_on_kw_mean,mean_abs_delta_P_eng_on_kw_std,mean_abs_delta_SOC_ref_mean,mean_abs_delta_SOC_ref_std,mean_abs_residual_delta_P_eng_on_kw_mean,mean_abs_residual_delta_P_eng_on_kw_std,mean_abs_residual_delta_SOC_ref_mean,mean_abs_residual_delta_SOC_ref_std
ems_variant,adaptive_rule_9knob_fitted,18,-1.505079839837853,1.309990191969224,0.24552179404716185,0.20577151905260252,86.5,60.828766951902686,0.05526114346845866,0.019069704445177832,0.04924201719521828,0.0195339682070536,-0.01769621276951384,0.048880168021497895,32.61574074074074,22.947708586906334,63.958333333333336,25.345319563292787,0.0720299238982198,0.040305402069421264,0.0,0.0,0.0,0.0,0.02139940202403234,0.00889362864305132,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3274420971281127,0.9420129831517731,0.006249707669703237,0.0020186617413555236,0.07071637368876635,0.05120201275493469,0.0007086995803786489,0.00046191812583308605
ems_variant,adaptive_rule_9knob_hand,18,-1.5140735586434673,1.3022607877298418,0.261496081573505,0.21601752751509182,90.83333333333333,59.729250232472644,0.05685083332468675,0.01906585489682713,0.050853839085850144,0.019604990094499695,-0.015910610844469365,0.05117629190286575,30.97222222222223,22.09163016748176,62.15277777777778,24.8871875968636,0.07243853528326509,0.040540105031118615,0.0,0.0,0.0,0.0,0.021415818535198125,0.008917797791914482,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3338436444430009,1.0312794873640567,0.00564990502592765,0.0020817383591456877,0.0,0.0,0.0,0.0
ems_variant,adaptive_rule_calibration,18,-1.5139569853569674,1.302177084143808,0.25998964789411827,0.21705142387982734,90.27777777777777,60.26036614886323,0.05659759628170137,0.01926657870924926,0.05059484917900653,0.01979132967187117,-0.0162127880224353,0.05088427087759882,31.31944444444445,22.25962564020283,62.38425925925927,25.10848589535968,0.07245923648871969,0.04050672550306352,0.0,0.0,0.0,0.0,0.021403735763703392,0.008900236984334819,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2863290185724519,0.9999406278265448,0.0056385155366208695,0.0020953308661077804,0.0,0.0,0.0,0.0
ems_variant,global_static_tuned,18,-1.5586773138576677,1.2626074240889407,0.3066158686026161,0.23547043295676712,105.27777777777777,58.61153238395207,0.06117593577212811,0.01891411860061237,0.055337961660846424,0.019633763177415574,-0.011315798162341177,0.05673021414370464,26.041666666666668,20.33773954232274,56.13425925925927,24.421471826646695,0.07708958282164771,0.034953124331315054,0.0,0.0,0.0,0.0,0.021594611775510354,0.00914971744591895,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8844795103108336,0.8171424229211821,0.007273299749614246,0.005046402438085744,0.7987685203552246,0.0,0.004268395304679872,0.0
ems_variant,map_rule_zero_offset,18,-1.514854565174429,1.3013437279884057,0.2607011947402231,0.2184204480081719,90.22222222222223,60.578283196717685,0.05660320945581453,0.019388029388390137,0.050604672298251455,0.01991398118099647,-0.016220151929899382,0.05093415727819824,31.41203703703704,22.3434794570036,62.40740740740742,25.240951331965704,0.07256623534279782,0.04039455909826646,0.0,0.0,0.0,0.0,0.021400112320317816,0.008893958693270464,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ems_variant,per_task_static_oracle,18,-1.4645863682811622,1.3444390072236763,0.18526175305970394,0.19249422172267394,62.388888888888886,59.642582559116164,0.048594992283380184,0.018994831895962464,0.04241122116855077,0.0190757401593199,-0.025238261957786154,0.03728697531580715,40.87962962962963,22.59619734448093,74.00462962962963,24.851076066298404,0.06917290710692886,0.042599673324153875,0.0,0.0,0.0,0.0,0.021589016348993826,0.009150345012806267,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4483247941677053,0.8217939371991652,0.00817778555049479,0.0025111125033949752,0.16893490231854635,0.3251589278364283,0.002993521359231737,0.004271534460997992
ems_variant,v3_meta_rl,90,-1.5045575273286909,1.3100790582222388,0.24199130223425178,0.2073374070917723,85.44444444444444,59.46354833212455,0.05483523430165441,0.019291683651458832,0.048858158704504925,0.019566013061286445,-0.018382985121405786,0.04817101180192991,33.37962962962963,23.03960663589767,64.39814814814815,24.77647847171857,0.07233009655747798,0.04018894193605303,0.0,0.0,0.0,0.0,0.021516129204386295,0.009045678847575084,0.6666666666666666,0.9428090415820635,0.6471844054934213,0.15721101553207706,0.09630596391495191,0.19242006383558002,0.24275014846767853,0.28142150239986474,0.6949550811615784,0.14581661693818745,0.0,0.0,0.3206481481481482,0.2317763122416174,0.0,0.0,0.0,0.0,0.0,0.0,1.2373642927709025,0.8255631802716281,0.005540570566124946,0.0026563095107755915,0.364541406701998,0.12009360002129382,0.002762718176719419,0.0008872328076186383
heldout_domain,adaptive_rule_9knob_fitted,8,-0.5707041940180003,1.151942650434523,0.1306994206288432,0.1736241429525676,39.875,53.65500326157851,0.041581765854253556,0.018459085014247142,0.034625695492533165,0.015207738035589129,-0.01382018286246974,0.03193135101123444,53.07291666666667,15.239604693537094,83.38541666666666,22.35625135899104,0.03847152655265443,0.036302642869482836,0.25,0.6614378277661477,0.0010540372596716063,0.002788720461687081,0.09406665308136158,0.040382630463265706,3.75,1.299038105676658,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0055265715249382,0.7570793894591779,0.005080241658238946,0.0021673542283109954,0.046290244952051765,0.012038130216129267,0.0008859204099784771,0.00038377441713615014
heldout_domain,adaptive_rule_9knob_hand,8,-0.48081126584869605,0.9033121943205525,0.11784101629973266,0.1624643005784594,39.25,49.90177852541931,0.04061068650342897,0.017064702420273248,0.03390426462147448,0.01422686027104698,-0.012059898615266594,0.031058664627293956,53.385416666666664,14.82601279447527,83.64583333333333,20.79240771892471,0.03702334369450961,0.03188980197642066,0.375,0.9921567416492215,0.0015625,0.004133986423538423,0.09384262504882773,0.04013340523388997,3.75,1.299038105676658,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004164435079498,0.7824619002178074,0.004330574713322318,0.0016857018883819851,0.0,0.0,0.0,0.0
heldout_domain,adaptive_rule_calibration,8,-0.6106026364970413,1.2422226367901943,0.14588858138460625,0.18487346746997071,46.75,52.544623892459256,0.043044493561252534,0.019453292060841364,0.03598280404058379,0.01635317337500267,-0.01357019688331782,0.034084518359279226,52.447916666666664,16.66463203726683,80.52083333333334,21.89359328852469,0.04091612931087807,0.037699355573642304,0.0,0.0,3.0750663134271735e-07,8.135860730360503e-07,0.09405891234692829,0.04051832883857172,3.75,1.299038105676658,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0037353318844358,0.8057755082000408,0.004386114436104326,0.001814659009897266,0.0,0.0,0.0,0.0
